COUNTRY,1999,2005,2010,2015,2020
Argentina,66,61,56,42,39
Bolivia,331,283,222,175,155
Brazil,69,71,69,62,60
Chile,31,27,21,15,13
Colombia,94,85,87,85,83
Ecuador,122,94,80,65,59
Guyana,231,220,185,174,169
Paraguay,194,180,153,135,129
Peru,144,122,106,96,88
Suriname,221,176,159,124,120
Uruguay,26,23,19,17,17
Venezuela,119,119,119,113,125
