YEAR,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1,66,331,69,31,94,122,231,194,144,221,26,119
2,61,283,71,27,85,94,220,180,122,176,23,119
3,56,222,69,21,87,80,185,153,106,159,19,119
4,42,175,62,15,85,65,174,135,96,124,17,113
5,39,155,60,13,83,59,169,129,88,120,17,125
